2024-03-17 18:44:00, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:05, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:10, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:15, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:20, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:25, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:30, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:36, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:41, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:46, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:51, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:44:56, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:01, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:06, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:11, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:16, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:21, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:26, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:31, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:36, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:41, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:46, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:51, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:45:56, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:02, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:07, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:12, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:17, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:23, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:28, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:33, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:39, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:44, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:49, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:54, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:46:59, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:47:04, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:47:09, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
